GeneSymbol,log2FC_db_dw,pvalue,alias,Entrez
SH2D3C,-3.5186608,0,Nsp3,362111
TXNIP,-2.0627642,0,Vdup1,117514
KLF11,-2.0083106,0,Tcfcp2l2,313994
CCNG2,-1.8418735,0,,29157
HECTD2,1.6576949,0,,309514
BAIAP2,1.6914603,0,Irsp53,117542
ARHGEF3,1.8163428,0,,290541
TPBG,1.8295311,0,5T4|WAIF1,83684
PDP1,1.8499978,0,Ppm2c,54705
THRB,1.9880408,0,C-erba-beta|ERBA2|Nr1a2|R,24831
NEFL,2.0243213,0,NF-L|Nfl,83613
SRXN1,2.0964212,0,Ab2-390|Npn3,296271
SDC1,2.1574545,0,HSPG|SYNDECA|Synd1|Synd,25216
RGS4,2.158761,0,,29480
BAG3,2.1794496,0,,293524
SPRY4,2.1836648,0,,291610
SMTN,2.207883,0,,289734
MAS1,2.4278078,0,Mgra|c-mas,25153
GFRA1,2.4593477,0,,25454
DUSP6,2.5314097,0,Mkp3,116663
SCN1B,2.5327137,0,,29686
KLF10,2.5528164,0,Tieg,81813
GYPC,2.6156454,0,GPC,364837
SMPDL3B,2.759265,0,,362619
PDGFB,2.8178334,0,SIS|c-sis,24628
DUSP5,2.8205106,0,Cpg21,171109
GADD45B,2.8589942,0,,299626
SCG2,2.8881552,0,Chcg,24765
LPAR1,2.9599757,0,Edg2,116744
GRASP,2.962261,0,,192254
HAUS8,2.999679,0,Ny-sar-48|RGD1311565,290626
EGR1,3.0695915,0,Krox-24|NGFI-A|Ngf1|Ngfi|z,24330
ECEL1,3.1382005,0,Dine,60417
LAMP5,3.2535648,0,BAD-LAMP|LAMP-5|RGD130,362220
GPR158,3.32403,0,,291352
RASL11A,3.382681,0,,304268
STX11,3.3982918,0,,292483
TRPC6,3.5656304,0,Trrp6,89823
NPTX2,3.5869105,0,NP-II|NP2|Narp,288475
ANKRD33B,3.6229866,0,RGD1564227,310200
FOSB,3.7941096,0,fra-2,100360880
CYP26B1,3.9069061,0,,312495
EGR2,4.0791073,0,Krox20,114090
FAM150B,4.0822096,0,,679566
VGF,4.137181,0,,29461
EMP1,4.1743793,0,CL-20|EMP-1|ENP1MR|TMP,25314
HSF2BP,4.194514,0,RGD1565879,499413
SIM1,4.295678,0,,309888
RRAD,4.5104423,0,,83521
PLAUR,4.754548,0,Par|Plaur3|uPAR|uPAR-2|uP,50692
ARC,5.054995,0,rg3.1,54323
GALR1,5.1025863,0,Galnr1,50577
MMP3,5.109894,0,,171045
MMP13,5.2357397,0,,171052
GPRC5A,5.4281096,0,Rai3,312790
CITED2,2.067604,1.40E-45,Mrg1,114490
PRSS23,2.4334733,2.80E-45,,308807
CCKBR,2.7934568,2.80E-45,Cck2r|Cholrec,25706
CSRNP1,2.6077116,3.20E-44,Axud1,363165
GALNT9,1.649546,7.40E-44,,304571
PENK,3.258971,7.60E-44,Enk|Penk-rs|Penk1|Penk2,29237
