"Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","BP","GO:0042326","negative regulation of phosphorylation","43/578","413/14187",1.51984578634419e-08,4.57454585876523e-05,4.04144118044076e-05,"Dusp1/Gadd45a/Dusp6/Trib1/Spry2/Mas1/Hmgcr/Gprc5a/Smad7/Midn/Ier3/Ppp1r15b/Per1/Dnaja1/Jun/Pard6a/Gadd45g/Ppp2ca/Ppp1r15a/Gadd45b/Rgs2/Errfi1/Dusp4/Atf3/Prkar2a/Dusp5/Actb/Crkl/Hipk3/Uchl1/Dynll1/Spry4/Myocd/Hspa4/Hsph1/Impact/Lif/Taf7/Dusp16/Snca/Pde12/Cdkn1c/Coro1c",43
"1","BP","GO:0060537","muscle tissue development","41/578","387/14187",2.03087496504561e-08,4.57454585876523e-05,4.04144118044076e-05,"Nr4a1/Btg2/Emd/Hmgcr/Smad7/Dipk2a/Fos/Tpm1/Sap30/Sik1/Egr2/Tiparp/Plagl1/Lmna/Srf/Fdps/Rgs2/Ifrd1/Klf5/Jarid2/Atf3/Zfand5/Bdnf/Ppp1r13l/Rgs4/Adrb1/Fgfr2/Skil/Tsc22d3/Myocd/Kdm6b/Cacybp/Egr1/Homer1/Akirin1/Myc/Pim1/Neb/Cxadr/Smad1/Hdac5",41
"1","BP","GO:0014706","striated muscle tissue development","39/578","367/14187",4.18096831000108e-08,6.2784207455183e-05,5.54675129126811e-05,"Nr4a1/Btg2/Emd/Hmgcr/Smad7/Dipk2a/Fos/Tpm1/Sap30/Sik1/Egr2/Plagl1/Lmna/Srf/Fdps/Rgs2/Ifrd1/Klf5/Jarid2/Atf3/Bdnf/Ppp1r13l/Rgs4/Adrb1/Fgfr2/Skil/Tsc22d3/Myocd/Kdm6b/Cacybp/Egr1/Homer1/Akirin1/Myc/Pim1/Neb/Cxadr/Smad1/Hdac5",39
"1","BP","GO:0010563","negative regulation of phosphorus metabolic process","47/578","500/14187",7.72901823034267e-08,6.96384542553875e-05,6.15229851135277e-05,"Dusp1/Gadd45a/Dusp6/Trib1/Spry2/Mas1/Hmgcr/Gprc5a/Smad7/Midn/Ier3/Ppp1r15b/Per1/Dnaja1/Jun/Pard6a/Gadd45g/Ppp2ca/Ppp1r15a/Gadd45b/Rgs2/Errfi1/Dusp4/Atf3/Prkar2a/Dusp5/Csrnp2/Actb/Crkl/Hipk3/Uchl1/Dynll1/Spry4/Myocd/Hspa4/Ppp1r11/Hsph1/Pdgfa/Impact/Lif/Taf7/Dusp16/Snca/Pde12/Cdkn1c/Csrnp3/Coro1c",47
"1","BP","GO:0045936","negative regulation of phosphate metabolic process","47/578","500/14187",7.72901823034267e-08,6.96384542553875e-05,6.15229851135277e-05,"Dusp1/Gadd45a/Dusp6/Trib1/Spry2/Mas1/Hmgcr/Gprc5a/Smad7/Midn/Ier3/Ppp1r15b/Per1/Dnaja1/Jun/Pard6a/Gadd45g/Ppp2ca/Ppp1r15a/Gadd45b/Rgs2/Errfi1/Dusp4/Atf3/Prkar2a/Dusp5/Csrnp2/Actb/Crkl/Hipk3/Uchl1/Dynll1/Spry4/Myocd/Hspa4/Ppp1r11/Hsph1/Pdgfa/Impact/Lif/Taf7/Dusp16/Snca/Pde12/Cdkn1c/Csrnp3/Coro1c",47
"1","BP","GO:0016126","sterol biosynthetic process","12/578","44/14187",1.19169277822702e-07,8.94762660985457e-05,7.90489542890593e-05,"Cyp51/Hmgcr/Pmvk/Hmgcs1/Sqle/Msmo1/Insig1/Fdft1/Sc5d/Fdps/Mvd/Hsd17b7",12
"1","BP","GO:0001933","negative regulation of protein phosphorylation","38/578","375/14187",2.15882509776928e-07,0.000138935815220723,0.000122744626987453,"Dusp1/Gadd45a/Dusp6/Trib1/Spry2/Mas1/Hmgcr/Gprc5a/Smad7/Ppp1r15b/Per1/Dnaja1/Jun/Pard6a/Gadd45g/Ppp2ca/Ppp1r15a/Gadd45b/Rgs2/Errfi1/Dusp4/Atf3/Prkar2a/Dusp5/Actb/Crkl/Hipk3/Uchl1/Spry4/Myocd/Hspa4/Hsph1/Impact/Lif/Taf7/Dusp16/Snca/Coro1c",38
"1","BP","GO:0051051","negative regulation of transport","43/578","461/14187",3.49409987531662e-07,0.000196761499228767,0.000173831468797002,"Adcyap1/Cyp51/Rrad/Syt4/Hmgcr/Pim3/Midn/Ier3/Insig1/Atf4/Ptgs2/Gem/Rem2/Sdcbp/Coro1a/Oaz1/Ppp2ca/Rgs2/Pawr/Acsl4/Cidea/Thbs1/Kcne4/Picalm/Rgs4/Arhgap1/Ndfip1/Ppp1r11/Adora1/Ywhaq/Sar1a/Prkg2/Rangap1/Bag3/Fmr1/Myc/Lif/Rap1b/Oaz2/Snca/Pacsin3/Lrrc32/Il1r2",43
"1","BP","GO:0035914","skeletal muscle cell differentiation","13/578","61/14187",8.08477248102669e-07,0.000404687778078058,0.000357526605272069,"Nr4a1/Btg2/Emd/Fos/Sap30/Egr2/Plagl1/Klf5/Atf3/Myocd/Egr1/Akirin1/Myc",13
"1","BP","GO:0006469","negative regulation of protein kinase activity","23/578","180/14187",1.14879584435509e-06,0.00050481912892978,0.000445988930774811,"Dusp1/Gadd45a/Dusp6/Trib1/Spry2/Hmgcr/Gprc5a/Dnaja1/Gadd45g/Gadd45b/Rgs2/Errfi1/Dusp4/Prkar2a/Dusp5/Actb/Hipk3/Uchl1/Spry4/Myocd/Taf7/Dusp16/Coro1c",23
