"","OR_cno","Pval_cno","NumSig_cno","adjPval_cno","OR_saline","Pval_saline","NumSig_saline","adjPval_saline","setSize","ID"
"Heart Diseases",2.9967228557458,2.86299355615163e-37,355,3.05481412441379e-34,0.685077276588548,0.0118084001812699,63,0.244065394741195,5877,"MESH:D006331"
"Headache",3.48830188044171,7.97647686247173e-37,196,4.25545040612867e-34,0.885191624555533,0.626440906312325,28,0.900985442643987,2248,"MESH:D006261"
"Pulmonary Edema",3.53179694000989,1.62561449671001e-36,189,5.78176889329861e-34,0.755286391959647,0.231469804622341,23,0.627624683353037,2166,"MESH:D011654"
"Hypertension",2.96824857879607,3.7573827510937e-36,381,1.00228184885424e-33,0.67712686512072,0.00633826959172016,72,0.201605728936637,6635,"MESH:D006973"
"Carcinoma",3.18239361288633,5.88243846632593e-36,232,1.25531236871395e-33,0.700581511228102,0.0692591267488985,31,0.392310259050268,3062,"MESH:D002277"
"Hemolysis",3.38558551791112,1.5463080488341e-35,198,2.70400111097459e-33,0.484707914452435,0.0027740908051315,17,0.148653233347294,2299,"MESH:D006461"
"Cardiovascular Diseases",2.94001129296163,1.77394637083619e-35,298,2.70400111097459e-33,0.662364183771745,0.0132905388890179,46,0.244065394741195,4608,"MESH:D002318"
"Brain Edema",3.69184019223501,1.64475448749936e-34,162,2.19369129770227e-32,0.611902541982193,0.0769682240555729,15,0.408699255848561,1685,"MESH:D001929"
"Brain Injuries",3.70876966218511,2.22143218140348e-34,160,2.57911596597332e-32,0.904884311265006,0.739735612986263,21,0.960929070880649,1645,"MESH:D001930"
"Testicular Diseases",3.48243458541532,2.50685326011637e-34,178,2.57911596597332e-32,1.01915266699473,0.918317199063388,28,1,1998,"MESH:D013733"
"Brain Diseases",2.87951287603577,2.65888243914775e-34,301,2.57911596597332e-32,0.671547365770901,0.0142077212757683,48,0.244065394741195,4622,"MESH:D001927"
"Disorders of Sex Development",3.91663958101342,8.29613826217443e-34,144,7.37664960478343e-32,0.542854609043137,0.0536448375087685,11,0.366646947270674,1411,"MESH:D012734"
"Pneumonia",3.33499424843006,1.55299545021013e-33,188,1.27465088105709e-31,0.90396323549867,0.695004726940037,28,0.942837747064034,2245,"MESH:D011014"
"Proteinuria",2.80781276054858,8.28030103824803e-33,377,6.31077229129332e-31,0.732482990860924,0.0293584523605933,77,0.286346777230667,6638,"MESH:D011507"
"Dizziness",3.92488556788377,9.3720721470866e-33,138,6.6666673206276e-31,1.03984083991297,0.806595243703023,19,0.995923012853895,1354,"MESH:D004244"
"Thrombocytopenia",3.30996670234399,1.55700699424374e-32,183,1.03832903928629e-30,0.638212254068353,0.058725214751251,20,0.382530185282177,2145,"MESH:D013921"
"Pain",2.88268309043001,2.59358416737677e-32,257,1.6278554744653e-30,0.726039049832969,0.0664512404090756,40,0.385037526230686,3760,"MESH:D010146"
"Anemia",2.75901216139616,3.09851066860566e-32,336,1.79648182874235e-30,0.678308497319065,0.0110943442588692,60,0.244065394741195,5568,"MESH:D000740"
"Lung Neoplasms",2.75407059419395,3.1989835750801e-32,332,1.79648182874235e-30,0.712813666397892,0.0237250307209778,61,0.286346777230667,5628,"MESH:D008175"
"Arrhythmias, Cardiac",3.53914330274338,4.36303995689127e-32,158,2.32768181700149e-30,0.78937075843019,0.379255447783751,19,0.732813680647575,1728,"MESH:D001145"
"Seizures",2.85537639597915,5.77021552541025e-32,258,2.90129581408288e-30,0.649666506997006,0.0167100436478445,37,0.244078493033079,3742,"MESH:D012640"
"Acute Kidney Injury",2.76850804182264,5.98205322491316e-32,374,2.90129581408288e-30,0.654327039444964,0.00333625340948432,71,0.153282309424641,6657,"MESH:D058186"
"Prenatal Injuries",2.74690602550555,1.09027936386326e-31,311,5.05794817931347e-30,0.862351450751506,0.3462758226068,63,0.719436795228979,5053,"MESH:D049188"
"Hyperglycemia",2.83151486474056,3.08881875406189e-31,254,1.37323733774335e-29,0.797489327682144,0.200684406286461,43,0.596496308502395,3733,"MESH:D006943"
