"","Symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_type","EntrezID"
"ENSMUSG00000081043.1","Gm11512",500.903940546921,-4.69995546638776,0.242226728421693,-19.4031249029033,7.26200212812848e-84,1.48595087545765e-79,"processed_pseudogene",NA
"ENSMUSG00000024190.6","Dusp1",3102.02423206905,1.83093877257591,0.165891183035551,11.0369866503606,2.53388803795648e-28,2.59242085163328e-24,"protein_coding",19252
"ENSMUSG00000023034.6","Nr4a1",10666.122114987,2.70201436209963,0.318347331815263,8.48762999423413,2.10893778074456e-17,1.43843616231984e-13,"protein_coding",15370
"ENSMUSG00000024256.6","Adcyap1",5875.00943230545,1.64987315688468,0.224729772929229,7.34158689958832,2.11076035030292e-13,1.07975945719746e-09,"protein_coding",11516
"ENSMUSG00000028680.14","Plk3",1083.17204843483,1.17537203272703,0.163724144969588,7.17897798730513,7.02344521430979e-13,2.87427471950414e-09,"protein_coding",12795
"ENSMUSG00000036390.8","Gadd45a",550.719621630964,1.71469607146356,0.244637190333848,7.00913899936299,2.39789141535511e-12,8.17760902349936e-09,"protein_coding",13197
"ENSMUSG00000085148.1","Mir22hg",2330.74675180643,1.15022502590085,0.170403764263726,6.74999775310538,1.47847445135454e-11,4.32179203194522e-08,"processed_transcript",NA
"ENSMUSG00000081620.1","Gm14633",718.006530358481,-2.35580797177367,0.35007554430234,-6.72942743392293,1.70332007585739e-11,4.35666692402423e-08,"processed_pseudogene",NA
"ENSMUSG00000020423.6","Btg2",4007.52664677319,1.72236949672985,0.262731815840936,6.55561828786133,5.54118051457505e-11,1.25981817432483e-07,"protein_coding",12227
"ENSMUSG00000022893.14","Adamts1",4350.45642331314,1.88825508093932,0.28984218549014,6.51476967628494,7.28012780565972e-11,1.48965975159409e-07,"protein_coding",11504
"ENSMUSG00000019960.7","Dusp6",11307.2770668259,1.86010491099808,0.287629145950025,6.46702511615868,9.99510420022037e-11,1.85927111040827e-07,"protein_coding",67603
