"ONTOLOGY","ID","Description","pvalue_enr","pvalue_depl","p.adjust_enr","p.adjust_depl","GeneRatio_enr","GeneRatio_depl","geneID_enr","geneID_depl"
"CC","GO:0098978","glutamatergic synapse",5.14472973319438e-20,1.06631461936141e-15,2.54664121793122e-17,9.68213674380163e-14,"74/606","70/659","Grm5/Homer1/Gria2/Usp46/Cadps2/Ap2b1/Bcr/Lrrc7/Shank1/Gria3/Anks1b/Mal2/Cnih3/Nptx2/Ndrg1/Shisa7/Lrrk2/Sipa1l1/Grin2b/Atp2b1/Adgrl3/Prkar1b/Sorcs3/Cttnbp2/Nos1/Cacna2d1/Adra2a/Myh10/Dlgap4/Camkv/Sh3gl2/Chrm4/Drp2/Homer2/Unc13b/Tnr/Cdkl5/Gpm6a/Dgkb/Syt4/Grin3a/Abi2/Nrgn/Arhgap44/Syngap1/Adra1a/Dgkz/Eps15/Adgrl2/Git1/Tspoap1/Baiap2/Cnih2/Cnksr2/Dlg2/Plppr4/Akap5/Dlgap1/Tanc2/Dlgap3/Nr3c1/Arc/Scn2a/Farp1/Clstn1/Grasp/Htr2a/Nptxr/Pfn2/Arf1/Shank2/Adgrl1/Stx1a/Rnf216","Erbb4/Cplx2/Rims3/Nrp2/Dnm3/Cdh9/Ablim3/Kcna1/Cacng2/Clstn2/Htr3a/Sparcl1/Gucy1a1/Ephb1/Tiam1/Il1rap/Cplx1/Atp2b2/Camk2b/Grin2d/Grm1/Ptpro/Ppfia2/Cacna1c/Erbin/Lin7c/Itsn1/Eps8/Abr/Vamp1/Kcnc3/Olfm1/Gabrd/Nrp1/Plcb4/Grik1/Wnt5a/Acan/Syt6/Cadps/Lgi1/Gsg1l/Pcdh8/Pacsin2/Grik4/Ppm1h/Lrrtm4/Cnr1/Slc30a3/Cspg5/Epha7/Prkce/Olfm2/Napa/Cdh2/Psd2/Yes1/Gria4/Kcna3/Apoe/Il1rapl1/Adcy1/Bcan/Cbln2/Slc1a2/Grik2/Gabbr2/Filip1/Chrm3/Shisa6"
"CC","GO:0098984","neuron to neuron synapse",6.23687358312674e-17,3.51115120617368e-06,1.54362621182387e-14,4.98144577375891e-05,"62/606","43/659","Prkcg/Grm5/Homer1/Gria2/Gap43/Prnp/Bcr/Itpr1/Lrrc7/Shank1/Gria3/Anks1b/Mal2/Map2/Shisa7/Sipa1l1/Grin2b/Ctnnd2/Prkar1b/Sorcs3/Nos1/Met/Adra2a/Sh3gl2/Chrm4/Drp2/Homer2/Unc13b/Tnr/Actr2/Cdkl5/Pde4b/Grin3a/Nrgn/Arhgap44/Syngap1/Dgkz/Bcl11a/Baiap2/Cnih2/Map1a/Arhgap32/Cnksr2/Bmpr2/Dlg2/Lzts1/Plppr4/Akap5/Dlgap1/ND2/Syt9/Tanc2/Strn/Nr3c1/Arc/Snx27/Clstn1/Grasp/Arf1/Shank2/Adgrl1/Stx1a","Erbb4/Tmem108/Epb41/Dnm3/Cdh9/Pdzd2/Cacng2/Clstn2/Camk2g/Tiam1/Il1r1/Atp2b2/Camk2b/Grin2d/Grm1/Ptpro/Map1b/Cald1/Cacna1c/Eps8/Abr/Plcb4/Grik1/Cast/Gsg1l/Grik4/Nectin3/Lrrtm4/Cpeb4/Slc30a3/Epha7/Ngfr/Cdh2/Gria4/Il1rapl1/Adcy1/Akap7/Epb41l1/Camk2n1/Igsf11/Grik2/Chrm3/Shisa6"
"CC","GO:0097060","synaptic membrane",1.2765377894158e-16,8.24609424760426e-15,2.10628735253607e-14,6.23954464735389e-13,"66/606","66/659","Psd3/Prkcg/Grm5/Homer1/Gria2/Cadps2/Bcr/Itpr1/Gabra2/Lrrc7/Shank1/Gria3/Cntnap2/Anks1b/Cnih3/Nptx2/Slc8a1/Shisa7/Syne1/Sipa1l1/Grin2b/Atp2b1/L1cam/Sorcs3/Gabra3/Lin7a/Cacna2d1/Cacna1e/Met/Adra2a/Snph/Chrm4/Drp2/Homer2/Unc13b/Gpm6a/Grin3a/Chrm5/Nrgn/Cpe/Adra1a/Adgrl2/Baiap2/Cnih2/Otof/Arhgap32/Cnksr2/Dlg2/Lzts1/Plppr4/Eno2/Akap5/Dlgap1/Strn/Dlgap3/Arc/Scn2a/Kcnb1/Farp1/Clstn1/Htr2a/Arf1/Shank2/Adgrl1/Fcho2/Stx1a","Slc6a1/Rph3a/Erbb4/Kcnc1/Cntnap4/Tmem108/Rims3/Nrp2/Dnm3/Cdh9/Calb2/Kcna1/Cacng2/Clstn2/Htr3a/Kcnc2/Tiam1/Chrm2/Gabra4/Nrxn3/Scn1a/Atp2b2/Grm2/Grin2d/Grm1/Ptpro/Cacna1c/Lin7c/Kcnc3/Olfm1/Gabrd/Nrp1/Slc6a6/Sept3/Cyth1/Grik1/Syt6/Cntnap1/Gsg1l/Pcdh8/Grik4/Oprm1/Nectin3/Lrrtm4/Cpeb4/Cnr1/Cspg5/Epha7/Slc8a3/Olfm2/Glra2/Cdh2/Comt/Gria4/Kcna3/Il1rapl1/Adcy1/Epb41l1/Kcnd3/Slc1a2/Camk2n1/Grik2/Gabbr2/Chrm3/Shisa6/Htr7"
"CC","GO:0099572","postsynaptic specialization",4.00272858963489e-16,4.51382193556907e-06,4.95337662967317e-14,6.14228909663783e-05,"61/606","43/659","Prkcg/Grm5/Homer1/Gria2/Gap43/Prnp/Bcr/Itpr1/Gabra2/Lrrc7/Shank1/Gria3/Anks1b/Nptx2/Map2/Shisa7/Sipa1l1/Grin2b/Ctnnd2/Sorcs3/Gabra3/Nos1/Met/Adra2a/Dlgap4/Chrm4/Drp2/Homer2/Actr2/Cdkl5/Pde4b/Grin3a/Nrgn/Arhgap44/Syngap1/Dgkz/Bcl11a/Baiap2/Cnih2/Map1a/Arhgap32/Cnksr2/Bmpr2/Dlg2/Lzts1/Plppr4/Akap5/Dlgap1/ND2/Tanc2/Strn/Dlgap3/Nr3c1/Arc/Snx27/Clstn1/Grasp/Arf1/Shank2/Adgrl1/Stx1a","Erbb4/Tmem108/Epb41/Dnm3/Pdzd2/Cacng2/Clstn2/Camk2g/Tiam1/Il1r1/Gabra4/Atp2b2/Camk2b/Grin2d/Grm1/Ptpro/Map1b/Cald1/Cacna1c/Erbin/Eps8/Abr/Plcb4/Grik1/Cast/Gsg1l/Nectin3/Lrrtm4/Cpeb4/Epha7/Ngfr/Cdh2/Yes1/Gria4/Il1rapl1/Adcy1/Epb41l1/Kcnd3/Camk2n1/Igsf11/Grik2/Chrm3/Shisa6"
"BP","GO:0050804","modulation of chemical synaptic transmission",5.23631578066084e-15,9.04484873378536e-19,1.21656888150555e-11,2.21425435637053e-15,"64/601","74/654","Prkcb/Prkcg/Grm5/Homer1/Kit/Gria2/Usp46/Plk2/Prnp/Bcr/Shank1/Nptx2/Egr1/Shisa7/Gnai1/Itpka/Lrrk2/Syne1/Sipa1l1/Grin2b/Ctnnd2/Rin1/Prkar1b/L1cam/Sorcs3/Nos1/Zmynd8/Met/Adra2a/Htr2c/Unc13b/Tnr/Dgkb/Slc4a10/Syt4/Grin3a/Jph4/Nrgn/Ptn/Syngap1/Adra1a/App/Git1/Baiap2/Cnih2/Kcnn2/Map1a/Lzts1/Syt9/Nr3c1/Arc/Plcl2/Kcnb1/Clstn1/Vamp2/Kdr/Htr2a/Npas4/Nptxr/Pfn2/Arf1/Shank2/Stx1a/Rnf216","Slc6a1/Rasgrf2/Erbb4/Reln/Cntnap4/Cplx2/Tmem108/Syt2/Plcl1/Rims3/Calb2/Ntf3/Cacng2/Clstn2/Gucy1a1/Ephb1/Chrm2/Cux2/Cplx1/Mme/Nrxn3/Atp2b2/Grm2/Camk2b/Tac1/Mef2c/Grin2d/Grm1/Ppfia2/Npy2r/Rab3b/Gfap/Abr/Vamp1/Kcnc3/Egfr/Ngf/Plcb4/Slc6a6/Paip2/Cyth1/Grik1/Sept5/Lgi1/Prkca/Pcdh8/Pacsin2/Mgll/Grik4/Car2/Cnr1/Fam107a/Cspg5/Akap12/Ncdn/Slc8a3/Ngfr/Prkce/Napa/Cdh2/Tubb2b/Gria4/Apoe/Cacna2d2/Tshz3/Adcy1/Akap7/Sybu/Igsf11/Grik2/Adcyap1/Abat/Shisa6/Htr7"
"BP","GO:0099177","regulation of trans-synaptic signaling",5.80701136756828e-15,1.02464338564115e-18,1.21656888150555e-11,2.21425435637053e-15,"64/601","74/654","Prkcb/Prkcg/Grm5/Homer1/Kit/Gria2/Usp46/Plk2/Prnp/Bcr/Shank1/Nptx2/Egr1/Shisa7/Gnai1/Itpka/Lrrk2/Syne1/Sipa1l1/Grin2b/Ctnnd2/Rin1/Prkar1b/L1cam/Sorcs3/Nos1/Zmynd8/Met/Adra2a/Htr2c/Unc13b/Tnr/Dgkb/Slc4a10/Syt4/Grin3a/Jph4/Nrgn/Ptn/Syngap1/Adra1a/App/Git1/Baiap2/Cnih2/Kcnn2/Map1a/Lzts1/Syt9/Nr3c1/Arc/Plcl2/Kcnb1/Clstn1/Vamp2/Kdr/Htr2a/Npas4/Nptxr/Pfn2/Arf1/Shank2/Stx1a/Rnf216","Slc6a1/Rasgrf2/Erbb4/Reln/Cntnap4/Cplx2/Tmem108/Syt2/Plcl1/Rims3/Calb2/Ntf3/Cacng2/Clstn2/Gucy1a1/Ephb1/Chrm2/Cux2/Cplx1/Mme/Nrxn3/Atp2b2/Grm2/Camk2b/Tac1/Mef2c/Grin2d/Grm1/Ppfia2/Npy2r/Rab3b/Gfap/Abr/Vamp1/Kcnc3/Egfr/Ngf/Plcb4/Slc6a6/Paip2/Cyth1/Grik1/Sept5/Lgi1/Prkca/Pcdh8/Pacsin2/Mgll/Grik4/Car2/Cnr1/Fam107a/Cspg5/Akap12/Ncdn/Slc8a3/Ngfr/Prkce/Napa/Cdh2/Tubb2b/Gria4/Apoe/Cacna2d2/Tshz3/Adcy1/Akap7/Sybu/Igsf11/Grik2/Adcyap1/Abat/Shisa6/Htr7"
"BP","GO:0050808","synapse organization",1.02618920706447e-14,6.91617490245289e-08,1.43324425920004e-11,2.06291606660069e-05,"59/601","48/654","Grm5/Homer1/Gap43/Prnp/Gabra2/Shank1/Arhgap33/Ndrg1/Shisa7/Itpka/Lrrk2/Sipa1l1/Grin2b/Ctnnd2/Adgrl3/L1cam/Cttnbp2/Zmynd8/Ephb3/Myh10/Dab2ip/Etv5/Camkv/Sez6/Drp2/Unc13b/Tnr/Actr2/Wasf1/Zfp365/Cdkl5/Gpm6a/Dgkb/Flrt1/Abi2/Ptn/Arhgap44/Syngap1/App/Dgkz/Adgrl2/Baiap2/Cnksr2/Slitrk5/Cacnb1/Col4a1/Nfasc/Dlgap3/Arc/Farp1/Snx27/Clstn1/Npas4/Nptxr/Malat1/Pfn2/Arf1/Shank2/Adgrl1","Rph3a/Erbb4/Reln/Dock10/Lrtm2/Cntnap4/Tmem108/Rims3/Nrp2/Dnm3/Cdh9/Cacng2/Clstn2/Sparcl1/Ephb1/Tiam1/Il1rap/Elfn1/Cux2/Nrxn3/Pdzrn3/Atp2b2/Camk2b/Mef2c/Ptpro/Pcdhgc4/Itsn1/Amigo2/Nrp1/Wnt5a/Prkca/Nfia/Pcdh8/Lrrtm4/Epha7/Cdh2/Thbs2/Apoe/Cacna2d2/Il1rapl1/Bcan/Epha3/Cbln2/Amigo1/Sybu/Dact1/Filip1/Shisa6"
"CC","GO:0014069","postsynaptic density",1.08646893110056e-14,2.08940269914866e-05,1.07560424178955e-12,0.000256375358219863,"56/606","39/659","Prkcg/Grm5/Homer1/Gria2/Gap43/Prnp/Bcr/Itpr1/Lrrc7/Shank1/Gria3/Anks1b/Map2/Shisa7/Sipa1l1/Grin2b/Ctnnd2/Sorcs3/Nos1/Met/Adra2a/Chrm4/Drp2/Homer2/Actr2/Cdkl5/Pde4b/Grin3a/Nrgn/Arhgap44/Syngap1/Dgkz/Bcl11a/Baiap2/Cnih2/Map1a/Arhgap32/Cnksr2/Bmpr2/Dlg2/Lzts1/Plppr4/Akap5/Dlgap1/ND2/Tanc2/Strn/Nr3c1/Arc/Snx27/Clstn1/Grasp/Arf1/Shank2/Adgrl1/Stx1a","Erbb4/Tmem108/Epb41/Dnm3/Pdzd2/Cacng2/Clstn2/Camk2g/Tiam1/Il1r1/Atp2b2/Camk2b/Grin2d/Grm1/Ptpro/Map1b/Cald1/Cacna1c/Eps8/Abr/Plcb4/Grik1/Cast/Gsg1l/Nectin3/Lrrtm4/Cpeb4/Epha7/Ngfr/Cdh2/Gria4/Il1rapl1/Adcy1/Epb41l1/Camk2n1/Igsf11/Grik2/Chrm3/Shisa6"
"CC","GO:0032279","asymmetric synapse",1.5315316730625e-14,2.49594165711202e-05,1.26351363027656e-12,0.000298199345349699,"56/606","39/659","Prkcg/Grm5/Homer1/Gria2/Gap43/Prnp/Bcr/Itpr1/Lrrc7/Shank1/Gria3/Anks1b/Map2/Shisa7/Sipa1l1/Grin2b/Ctnnd2/Sorcs3/Nos1/Met/Adra2a/Chrm4/Drp2/Homer2/Actr2/Cdkl5/Pde4b/Grin3a/Nrgn/Arhgap44/Syngap1/Dgkz/Bcl11a/Baiap2/Cnih2/Map1a/Arhgap32/Cnksr2/Bmpr2/Dlg2/Lzts1/Plppr4/Akap5/Dlgap1/ND2/Tanc2/Strn/Nr3c1/Arc/Snx27/Clstn1/Grasp/Arf1/Shank2/Adgrl1/Stx1a","Erbb4/Tmem108/Epb41/Dnm3/Pdzd2/Cacng2/Clstn2/Camk2g/Tiam1/Il1r1/Atp2b2/Camk2b/Grin2d/Grm1/Ptpro/Map1b/Cald1/Cacna1c/Eps8/Abr/Plcb4/Grik1/Cast/Gsg1l/Nectin3/Lrrtm4/Cpeb4/Epha7/Ngfr/Cdh2/Gria4/Il1rapl1/Adcy1/Epb41l1/Camk2n1/Igsf11/Grik2/Chrm3/Shisa6"
"BP","GO:0016358","dendrite development",6.0202849784002e-13,0.0135838277440029,6.30624851487421e-10,0.111614645455476,"44/601","23/654","Plk2/Shank1/Arhgap33/Map2/Itpka/Lrrk2/Syne1/Sipa1l1/Ctnnd2/Zmynd8/Ephb3/Met/Dab2ip/Sez6/Fezf2/Actr2/Zfp365/Cdkl5/Phactr1/Flrt1/Celsr2/Grin3a/Abi2/Ptn/Uba6/Sh3glb1/Arhgap44/Syngap1/App/Bcl11a/Git1/Baiap2/Map1a/Slitrk5/Lzts1/D130043K22Rik/Akap5/Strn/Nr3c1/Arc/Farp1/Prex1/Arf1/Shank2","Btbd3/Reln/Dock10/Trpc6/Dnm3/Dscam/Ephb1/Tiam1/Il1rap/Cux2/Camk2b/Mef2c/Fstl4/Map1b/Itsn1/Nrp1/Kndc1/Cux1/Ngfr/Apoe/Il1rapl1/Alk/Dact1"
