"Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","CC","GO:0098978","glutamatergic synapse","74/606","488/13085",5.14472973319438e-20,2.54664121793122e-17,1.90625775377308e-17,"Grm5/Homer1/Gria2/Usp46/Cadps2/Ap2b1/Bcr/Lrrc7/Shank1/Gria3/Anks1b/Mal2/Cnih3/Nptx2/Ndrg1/Shisa7/Lrrk2/Sipa1l1/Grin2b/Atp2b1/Adgrl3/Prkar1b/Sorcs3/Cttnbp2/Nos1/Cacna2d1/Adra2a/Myh10/Dlgap4/Camkv/Sh3gl2/Chrm4/Drp2/Homer2/Unc13b/Tnr/Cdkl5/Gpm6a/Dgkb/Syt4/Grin3a/Abi2/Nrgn/Arhgap44/Syngap1/Adra1a/Dgkz/Eps15/Adgrl2/Git1/Tspoap1/Baiap2/Cnih2/Cnksr2/Dlg2/Plppr4/Akap5/Dlgap1/Tanc2/Dlgap3/Nr3c1/Arc/Scn2a/Farp1/Clstn1/Grasp/Htr2a/Nptxr/Pfn2/Arf1/Shank2/Adgrl1/Stx1a/Rnf216",74
"-1","BP","GO:0050804","modulation of chemical synaptic transmission","74/654","468/12874",9.04484873378536e-19,2.21425435637053e-15,1.85945810194247e-15,"Slc6a1/Rasgrf2/Erbb4/Reln/Cntnap4/Cplx2/Tmem108/Syt2/Plcl1/Rims3/Calb2/Ntf3/Cacng2/Clstn2/Gucy1a1/Ephb1/Chrm2/Cux2/Cplx1/Mme/Nrxn3/Atp2b2/Grm2/Camk2b/Tac1/Mef2c/Grin2d/Grm1/Ppfia2/Npy2r/Rab3b/Gfap/Abr/Vamp1/Kcnc3/Egfr/Ngf/Plcb4/Slc6a6/Paip2/Cyth1/Grik1/Sept5/Lgi1/Prkca/Pcdh8/Pacsin2/Mgll/Grik4/Car2/Cnr1/Fam107a/Cspg5/Akap12/Ncdn/Slc8a3/Ngfr/Prkce/Napa/Cdh2/Tubb2b/Gria4/Apoe/Cacna2d2/Tshz3/Adcy1/Akap7/Sybu/Igsf11/Grik2/Adcyap1/Abat/Shisa6/Htr7",74
"-1","BP","GO:0099177","regulation of trans-synaptic signaling","74/654","469/12874",1.02464338564115e-18,2.21425435637053e-15,1.85945810194247e-15,"Slc6a1/Rasgrf2/Erbb4/Reln/Cntnap4/Cplx2/Tmem108/Syt2/Plcl1/Rims3/Calb2/Ntf3/Cacng2/Clstn2/Gucy1a1/Ephb1/Chrm2/Cux2/Cplx1/Mme/Nrxn3/Atp2b2/Grm2/Camk2b/Tac1/Mef2c/Grin2d/Grm1/Ppfia2/Npy2r/Rab3b/Gfap/Abr/Vamp1/Kcnc3/Egfr/Ngf/Plcb4/Slc6a6/Paip2/Cyth1/Grik1/Sept5/Lgi1/Prkca/Pcdh8/Pacsin2/Mgll/Grik4/Car2/Cnr1/Fam107a/Cspg5/Akap12/Ncdn/Slc8a3/Ngfr/Prkce/Napa/Cdh2/Tubb2b/Gria4/Apoe/Cacna2d2/Tshz3/Adcy1/Akap7/Sybu/Igsf11/Grik2/Adcyap1/Abat/Shisa6/Htr7",74
"-1","CC","GO:0099699","integral component of synaptic membrane","45/659","201/13085",1.00403188711253e-17,2.45817597849118e-15,1.97201226190111e-15,"Slc6a1/Erbb4/Kcnc1/Cntnap4/Nrp2/Cdh9/Kcna1/Cacng2/Clstn2/Htr3a/Gabra4/Scn1a/Atp2b2/Grm2/Grin2d/Grm1/Ptpro/Cacna1c/Kcnc3/Gabrd/Nrp1/Slc6a6/Grik1/Syt6/Gsg1l/Pcdh8/Grik4/Oprm1/Nectin3/Lrrtm4/Cnr1/Cspg5/Epha7/Slc8a3/Cdh2/Gria4/Kcna3/Il1rapl1/Adcy1/Kcnd3/Slc1a2/Gabbr2/Chrm3/Shisa6/Htr7",45
"-1","CC","GO:0099055","integral component of postsynaptic membrane","39/659","152/13085",1.08289690682431e-17,2.45817597849118e-15,1.97201226190111e-15,"Slc6a1/Erbb4/Kcnc1/Nrp2/Cdh9/Kcna1/Cacng2/Clstn2/Htr3a/Gabra4/Atp2b2/Grm2/Grin2d/Grm1/Ptpro/Cacna1c/Kcnc3/Gabrd/Nrp1/Slc6a6/Gsg1l/Pcdh8/Grik4/Oprm1/Nectin3/Lrrtm4/Cspg5/Epha7/Slc8a3/Cdh2/Gria4/Kcna3/Il1rapl1/Adcy1/Kcnd3/Gabbr2/Chrm3/Shisa6/Htr7",39
"1","CC","GO:0098984","neuron to neuron synapse","62/606","408/13085",6.23687358312674e-17,1.54362621182387e-14,1.15546289540032e-14,"Prkcg/Grm5/Homer1/Gria2/Gap43/Prnp/Bcr/Itpr1/Lrrc7/Shank1/Gria3/Anks1b/Mal2/Map2/Shisa7/Sipa1l1/Grin2b/Ctnnd2/Prkar1b/Sorcs3/Nos1/Met/Adra2a/Sh3gl2/Chrm4/Drp2/Homer2/Unc13b/Tnr/Actr2/Cdkl5/Pde4b/Grin3a/Nrgn/Arhgap44/Syngap1/Dgkz/Bcl11a/Baiap2/Cnih2/Map1a/Arhgap32/Cnksr2/Bmpr2/Dlg2/Lzts1/Plppr4/Akap5/Dlgap1/ND2/Syt9/Tanc2/Strn/Nr3c1/Arc/Snx27/Clstn1/Grasp/Arf1/Shank2/Adgrl1/Stx1a",62
"-1","CC","GO:0098936","intrinsic component of postsynaptic membrane","39/659","161/13085",9.22220094467226e-17,1.39562640962707e-14,1.11960755328302e-14,"Slc6a1/Erbb4/Kcnc1/Nrp2/Cdh9/Kcna1/Cacng2/Clstn2/Htr3a/Gabra4/Atp2b2/Grm2/Grin2d/Grm1/Ptpro/Cacna1c/Kcnc3/Gabrd/Nrp1/Slc6a6/Gsg1l/Pcdh8/Grik4/Oprm1/Nectin3/Lrrtm4/Cspg5/Epha7/Slc8a3/Cdh2/Gria4/Kcna3/Il1rapl1/Adcy1/Kcnd3/Gabbr2/Chrm3/Shisa6/Htr7",39
"1","CC","GO:0097060","synaptic membrane","66/606","461/13085",1.2765377894158e-16,2.10628735253607e-14,1.57663614692759e-14,"Psd3/Prkcg/Grm5/Homer1/Gria2/Cadps2/Bcr/Itpr1/Gabra2/Lrrc7/Shank1/Gria3/Cntnap2/Anks1b/Cnih3/Nptx2/Slc8a1/Shisa7/Syne1/Sipa1l1/Grin2b/Atp2b1/L1cam/Sorcs3/Gabra3/Lin7a/Cacna2d1/Cacna1e/Met/Adra2a/Snph/Chrm4/Drp2/Homer2/Unc13b/Gpm6a/Grin3a/Chrm5/Nrgn/Cpe/Adra1a/Adgrl2/Baiap2/Cnih2/Otof/Arhgap32/Cnksr2/Dlg2/Lzts1/Plppr4/Eno2/Akap5/Dlgap1/Strn/Dlgap3/Arc/Scn2a/Kcnb1/Farp1/Clstn1/Htr2a/Arf1/Shank2/Adgrl1/Fcho2/Stx1a",66
"-1","CC","GO:0099240","intrinsic component of synaptic membrane","45/659","219/13085",3.24930633010949e-16,3.68796268467427e-14,2.95857892162601e-14,"Slc6a1/Erbb4/Kcnc1/Cntnap4/Nrp2/Cdh9/Kcna1/Cacng2/Clstn2/Htr3a/Gabra4/Scn1a/Atp2b2/Grm2/Grin2d/Grm1/Ptpro/Cacna1c/Kcnc3/Gabrd/Nrp1/Slc6a6/Grik1/Syt6/Gsg1l/Pcdh8/Grik4/Oprm1/Nectin3/Lrrtm4/Cnr1/Cspg5/Epha7/Slc8a3/Cdh2/Gria4/Kcna3/Il1rapl1/Adcy1/Kcnd3/Slc1a2/Gabbr2/Chrm3/Shisa6/Htr7",45
"1","CC","GO:0099572","postsynaptic specialization","61/606","412/13085",4.00272858963489e-16,4.95337662967317e-14,3.70779069355653e-14,"Prkcg/Grm5/Homer1/Gria2/Gap43/Prnp/Bcr/Itpr1/Gabra2/Lrrc7/Shank1/Gria3/Anks1b/Nptx2/Map2/Shisa7/Sipa1l1/Grin2b/Ctnnd2/Sorcs3/Gabra3/Nos1/Met/Adra2a/Dlgap4/Chrm4/Drp2/Homer2/Actr2/Cdkl5/Pde4b/Grin3a/Nrgn/Arhgap44/Syngap1/Dgkz/Bcl11a/Baiap2/Cnih2/Map1a/Arhgap32/Cnksr2/Bmpr2/Dlg2/Lzts1/Plppr4/Akap5/Dlgap1/ND2/Tanc2/Strn/Dlgap3/Nr3c1/Arc/Snx27/Clstn1/Grasp/Arf1/Shank2/Adgrl1/Stx1a",61
