"","Length","gencodeID","ensemblID","gene_type","Symbol","EntrezID","meanExprs","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSMUSG00000051951.5",6094,"ENSMUSG00000051951.5","ENSMUSG00000051951","protein_coding","Xkr4",497097,26.2817729047726,0.166846834143041,7.32317203601432,2.03534097131424,0.055235878188893,0.287004095657167,-5.54124030304695
"ENSMUSG00000098104.1",1470,"ENSMUSG00000098104.1","ENSMUSG00000098104","processed_pseudogene","Gm6085",NA,1.82814180709248,0.682687483383166,1.47828232247498,1.6787118913082,0.108710356629778,0.421929936025815,-4.67079479649024
"ENSMUSG00000103922.1",1069,"ENSMUSG00000103922.1","ENSMUSG00000103922","processed_pseudogene","Gm6123",NA,0.309036606160691,0.581726338736519,-0.829627502054737,0.938507837204673,0.359140910043312,0.730864336358686,-5.18009808147846
"ENSMUSG00000033845.13",8487,"ENSMUSG00000033845.13","ENSMUSG00000033845","protein_coding","Mrpl15",27395,2.37507048938691,-0.171050616332449,4.3357232747097,-0.929795373997214,0.363525659802685,0.735271916524253,-6.33114955223262
"ENSMUSG00000025903.14",7145,"ENSMUSG00000025903.14","ENSMUSG00000025903","protein_coding","Lypla1",18777,2.47748905199703,-0.142626061132286,4.16236696307813,-0.899539297316612,0.379031376769201,0.74470933382413,-6.30984415289657
"ENSMUSG00000033813.15",3017,"ENSMUSG00000033813.15","ENSMUSG00000033813","protein_coding","Tcea1",21399,31.9141986194879,0.0601407576412144,6.58282416960544,0.578947717641408,0.569065370312159,0.860260947090557,-7.18425619961431
"ENSMUSG00000062588.4",603,"ENSMUSG00000062588.4","ENSMUSG00000062588","processed_pseudogene","Gm6104",NA,1.34705982156136,-0.275401584374875,-0.330535388813345,-0.352042005552994,0.728476036879772,0.931446880216758,-5.56660543672668
"ENSMUSG00000103280.1",1111,"ENSMUSG00000103280.1","ENSMUSG00000103280","TEC","Gm37277",NA,0.525055662024582,1.16480761327288,-0.666347667429516,1.86098101508471,0.0774601630139588,0.352251083311126,-4.19127230773297
"ENSMUSG00000002459.17",4239,"ENSMUSG00000002459.17","ENSMUSG00000002459","protein_coding","Rgs20",58175,1.01341447493533,-0.0630040480331659,2.10256699259491,-0.156918149864123,0.876877080875993,0.964837085660528,-6.07584013259491
"ENSMUSG00000033793.12",9746,"ENSMUSG00000033793.12","ENSMUSG00000033793","protein_coding","Atp6v1h",108664,21.4698925654196,-0.0468765089503594,7.70598269462058,-0.504679981652036,0.619279580676401,0.887301056680832,-7.45920825941199
"ENSMUSG00000025905.13",9151,"ENSMUSG00000025905.13","ENSMUSG00000025905","protein_coding","Oprk1",18387,0.459803189636184,1.43448817869223,1.90653235969502,2.7476558248586,0.0123840254038079,0.115098197395498,-2.9080509572907
"ENSMUSG00000033774.4",3692,"ENSMUSG00000033774.4","ENSMUSG00000033774","protein_coding","Npbwr1",226304,2.46395626740056,1.23168114563437,3.00996243392393,3.92751741714154,0.000828772619637709,0.016385415098139,-0.588354072570943
"ENSMUSG00000025907.14",14690,"ENSMUSG00000025907.14","ENSMUSG00000025907","protein_coding","Rb1cc1",12421,16.329131160668,-0.0793309039890897,7.90236947533483,-1.19116192183397,0.24748620155887,0.622906049274385,-6.91839317606138
"ENSMUSG00000090031.2",5428,"ENSMUSG00000090031.2","ENSMUSG00000090031","antisense","4732440D04Rik",654788,0.240043822309535,1.7106993874185,0.405014178630196,3.21249405066275,0.00435549176740442,0.0545794246975418,-1.90350156896569
"ENSMUSG00000103845.1",4530,"ENSMUSG00000103845.1","ENSMUSG00000103845","processed_pseudogene","Gm19026",NA,0.795799671005003,-0.964213773065075,1.86994108838517,-2.7025303381268,0.0136743633856241,0.123247507741024,-2.96307787067051
