"","OR_retro","Pval_retro","NumSig_retro","adjPval_retro","OR_syn","Pval_syn","NumSig_syn","adjPval_syn","setSize","ID","OR_retro_neuronBG","Pval_retro_neuronBG","OR_syn_neuronBG","Pval_syn_neuronBG","gsea_pvalue_projectorEnrich"
"Memory Disorders",1.81076290609691,1.78112653682777e-12,314,1.72234936111245e-09,1.80075784443388,2.55762232337421e-13,344,2.17397897486808e-11,6263,"MESH:D008569",1.22803507565125,0.0274013917217513,1.22191261474241,0.0263661597309807,0.859774291664228
"Hyperkinesis",2.01227070130792,8.94249301304551e-11,134,4.3236953718075e-08,1.7730253731625,6.84934027493764e-08,134,1.04273538513976e-06,2045,"MESH:D006948",1.41336389729614,0.00277706289451497,1.21233492186864,0.0939502176823499,0.826775269037137
"Premature Birth",2.19436664912452,1.48370580716325e-10,102,4.78247838508956e-08,2.02261222720621,3.90347981445411e-09,105,9.04897593350726e-08,1586,"MESH:D047928",1.51942495868569,0.00126985349010177,1.37900382981935,0.0118833603599863,0.719106059197235
"Substance-Related Disorders",3.48416104618086,2.77594070143424e-10,41,6.71083664571727e-08,3.03728186471392,1.47507538041489e-08,40,2.74104058499444e-07,347,"MESH:D019966",1.84345423715877,0.0024937650475159,1.55821119725372,0.0307554124662836,0.185647248353137
"Psychomotor Agitation",4.69932176534814,5.28541905000248e-10,28,1.02220004427048e-07,3.14100856066582,1.30100645341347e-05,22,0.000112459879871334,200,"MESH:D011595",2.57020477191096,0.000274632723488837,1.53756192018197,0.113537769279416,0.0455325081076201
"Depressive Disorder",1.67589401756848,1.83062915596875e-09,264,2.95036398970297e-07,1.84836392333951,5.40834207646615e-14,305,6.1294543533283e-12,5242,"MESH:D003866",1.14041922712035,0.16213234515534,1.28693521381699,0.00520611739293249,0.999378378072795
"Anorexia",1.77784629088465,2.31415954493913e-09,175,3.19684611422306e-07,1.7080760470336,8.49733433572712e-09,187,1.73345620448833e-07,3217,"MESH:D000855",1.26204613757755,0.0236294856997716,1.20385369949229,0.0668793348344859,0.983221588535369
"Cocaine-Related Disorders",2.7375467732245,3.34498353297969e-09,52,4.0432488454892e-07,2.00927904996007,8.90233595781399e-05,44,0.000597393597169097,604,"MESH:D019970",1.71257622358226,0.00254151182208163,1.16920042133263,0.398993629831196,0.0963972621854808
"Anxiety Disorders",1.82001475534546,4.6946170072254e-09,151,5.04410516220774e-07,2.21196358960826,4.70128888365992e-17,189,1.59843822044437e-14,2775,"MESH:D001008",1.25191900552077,0.0401468521173286,1.60319917618117,4.94158255427944e-06,0.97889165253626
"Prenatal Injuries",1.65438487070815,5.69225138300344e-09,250,5.50440708736433e-07,1.98053382347368,6.99640337114614e-17,302,1.78408285964227e-14,5053,"MESH:D049188",1.12502891271173,0.221799096443863,1.40456419952574,0.000162525721966416,0.999973911311733
"Weight Gain",1.62449976009982,8.1289991490536e-09,327,6.87298583576948e-07,1.90747088680821,1.1478725469341e-15,384,1.6726142826754e-13,7051,"MESH:D015430",1.14153328274861,0.154563709966582,1.39117692304307,0.000227156726919375,0.99997118391348
"Arrhythmias, Cardiac",1.98006102178717,8.52904136806967e-09,105,6.87298583576948e-07,1.97799121225011,2.20269006413206e-09,115,5.61685966353675e-08,1728,"MESH:D001145",1.26415846361812,0.0621326690291642,1.26431994558122,0.0539728874785287,0.991403087950713
"Sexual Dysfunctions, Psychological",3.53206753077325,9.60011243388355e-09,33,7.14100671043492e-07,3.17851072486493,9.41561768324495e-08,33,1.37199000527284e-06,288,"MESH:D020018",1.7842616153663,0.0096575959123422,1.56949610468044,0.0434273255313804,0.0613453143498128
"Muscle Rigidity",5.04840463198689,1.11676405274683e-08,22,7.71364885004415e-07,4.81995759506642,1.27102344786797e-08,23,2.49316137851025e-07,143,"MESH:D009127",2.27387278639125,0.00346733453614752,2.15835152137983,0.0071873065058301,0.248974360864977
"Cerebral Hemorrhage",2.00104679406047,1.27481723310337e-08,101,8.21832176273973e-07,2.25231884841298,1.02315905750576e-12,121,7.45444456182765e-11,1610,"MESH:D002543",1.27484689853238,0.0573229033668619,1.48115887645138,0.00121513807313091,0.997340788869939
"Psychoses, Substance-Induced",3.16103068120851,1.81303693830979e-08,37,1.03219130644019e-06,2.9363619726455,7.01021412887494e-08,38,1.05153211933124e-06,371,"MESH:D011605",1.73568929526842,0.00812944601341573,1.58935219201569,0.0259593506843322,0.35867775863784
"Urogenital Abnormalities",1.64984679378127,1.81460726054635e-08,224,1.03219130644019e-06,2.16016337803025,2.29985692983877e-20,286,2.34585406843554e-17,4459,"MESH:D014564",1.12124556258688,0.229878387153285,1.56550686965636,1.01939216693907e-06,0.999992910509733
"Learning Disorders",1.65207532440605,2.05205993025933e-08,425,1.1024121958671e-06,2.1537286311944,2.87710608507076e-18,500,1.46732410338609e-15,9705,"MESH:D007859",1.12562342799113,0.254740784365577,1.55362515273387,1.0337499392656e-05,0.996513975573656
"Epilepsy",2.86447335130177,2.75207056892953e-08,42,1.40065907376571e-06,3.10931911251732,2.2329938801083e-10,49,8.76020676042486e-09,451,"MESH:D004827",1.72451089454083,0.00671117941355429,1.93678785362182,0.000531529950006765,0.609912337551359
"Personality Disorders",3.54458451352547,3.94903099999925e-08,30,1.83896586983322e-06,3.19140228229264,3.15636828040316e-07,30,4.05447896181072e-06,268,"MESH:D010554",1.95241885433734,0.00512022125475978,1.71845062947875,0.0211577859812614,0.034652651905548
"Sialorrhea",5.78142442768816,3.9936177111166e-08,18,1.83896586983322e-06,1.97296516214309,0.0760573774695665,8,0.176716457901954,102,"MESH:D012798",3.62655682735464,0.000159660462881278,0.913795320313117,1,0.000701488801746217
"Hypotension",1.98843094419889,4.78244478353528e-08,93,2.01354532891956e-06,2.04108266275257,2.87212488779132e-09,104,6.8159666398447e-08,1515,"MESH:D007022",1.24340057216756,0.0922922487245084,1.28539556872609,0.0504173155763521,0.966175740319617
"Congenital Abnormalities",1.62469865350053,4.78919778336608e-08,225,2.01354532891956e-06,1.78648747196483,5.36438953261377e-12,261,3.0398207351478e-10,4416,"MESH:D000013",1.22998596807495,0.0325925149958113,1.38762059001163,0.000426050764203469,0.992277161742884
"Ocular Motility Disorders",3.56421200942091,5.86289638420478e-08,29,2.36225866813584e-06,2.19004905270783,0.00186284986793776,21,0.00819011579869188,262,"MESH:D015835",2.54315065304316,0.000220852486391672,1.35020734199919,0.261147516562952,0.0131098345881207
"Lung Neoplasms",1.58884204782906,6.86833173848057e-08,261,2.65667071644428e-06,1.78984418052696,9.68234137655694e-13,305,7.45444456182765e-11,5628,"MESH:D008175",1.13829659659664,0.175740635604584,1.31920913159119,0.00214200206037474,0.997461045582963
